miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-miR-4661-5p,3.8,3.02,0.68,0.82,0.4,4.96,8.67,2.56,0.78,3.48
hsa-miR-4662a-5p,0.33,0.09,0.1,0.35,0.3,0.08,0.17,0.14,0.91,0.62
hsa-miR-4663,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-4664-3p,0.22,1.19,0.0,0.0,0.5,0.93,2.92,1.28,0.13,0.62
hsa-miR-4664-5p,0.0,0.09,0.39,0.0,0.1,0.25,0.83,1.42,2.34,0.25
hsa-miR-4665-5p,0.11,0.0,0.0,0.12,0.0,0.34,0.42,0.43,0.0,0.0
hsa-miR-4666a-3p,0.11,0.0,0.0,0.0,0.0,0.59,0.25,0.14,0.26,0.25
hsa-miR-4666a-5p,0.0,0.18,0.1,0.0,0.0,0.08,0.33,0.85,0.13,0.0
hsa-miR-4667-5p,0.22,0.09,0.1,0.24,0.5,0.0,0.17,0.57,0.13,0.0
hsa-miR-4669,0.0,0.18,0.0,0.0,0.0,0.08,0.0,1.0,0.0,0.12
hsa-miR-4670-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-4670-5p,0.0,0.0,0.0,0.24,0.0,0.0,0.17,0.0,0.13,0.0
hsa-miR-4672,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.12
hsa-miR-4676-3p,0.22,0.0,0.1,0.24,0.1,0.08,0.25,0.28,0.0,0.37
hsa-miR-4676-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-4677-3p,1.08,1.65,0.39,0.59,2.1,1.43,2.0,1.57,2.08,1.37
hsa-miR-4677-5p,0.0,0.0,0.1,0.0,0.0,0.08,0.25,0.14,0.39,0.37
hsa-miR-4678,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4680-3p,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.13,0.0
hsa-miR-4680-5p,0.11,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4681,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-4683,0.11,0.09,0.0,0.0,0.0,0.0,0.42,0.14,0.0,0.25
hsa-miR-4684-3p,0.54,0.27,0.1,0.35,0.0,1.18,2.58,1.42,0.78,0.99
hsa-miR-4684-5p,0.11,0.0,0.0,0.0,0.0,0.5,0.08,0.0,0.0,0.37
hsa-miR-4685-3p,0.0,0.0,0.0,0.0,0.1,0.34,0.0,0.28,0.0,0.37
hsa-miR-4687-3p,0.11,0.0,0.0,0.0,0.1,0.0,0.25,0.71,0.13,0.5
hsa-miR-4687-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4688,0.0,0.09,0.0,0.0,0.0,0.25,0.83,0.71,0.13,0.37
hsa-miR-4690-3p,0.11,0.18,0.0,0.0,0.1,0.34,0.67,2.56,0.13,0.5
hsa-miR-4691-3p,0.0,0.18,0.0,0.0,0.0,0.08,0.08,0.43,0.13,0.0
hsa-miR-4692,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-4695-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.43,0.0,0.0
hsa-miR-4695-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
hsa-miR-4696,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4697-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-4699-3p,0.11,0.0,0.19,0.0,0.0,0.0,0.0,0.14,0.0,0.12
hsa-miR-4700-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-4700-5p,0.22,0.37,0.0,0.0,0.1,0.25,0.58,0.28,0.0,0.25
hsa-miR-4701-5p,0.11,0.0,0.0,0.12,0.2,0.08,0.0,0.71,0.0,0.0
hsa-miR-4706,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
