miRNA,GSM3151945,GSM3151946,GSM3151947,GSM3151948,GSM3151949,GSM3151950,GSM3151951,GSM3151952,GSM3151953,GSM3151954,GSM3151955,GSM3151956,GSM3151957,GSM3151958,GSM3151959,GSM3151960,GSM3151961,GSM3151962,GSM3151963,GSM3151964,GSM3151965,GSM3151966,GSM3151967,GSM3151968,GSM3151969,GSM3151970,GSM3151971,GSM3151972
hsa-miR-1258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.0,0.0,0.0,0.0,0.48,1.01,0.57,0.43,0.61,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.06,1.1,0.92,0.69,0.82,5.7,0.0,0.0,0.0
hsa-miR-125a-5p,347.75,156.35,237.45,185.7,9.31,24.48,20.55,12.23,14.94,18.91,23.45,0.0,0.0,0.0,80.16,57.4,23.89,176.34,42.37,21.31,30.54,26.66,9.28,37.35,113.92,303.54,0.0,0.0
hsa-miR-125b-1-3p,0.0,12.51,0.0,0.0,0.12,0.04,0.21,0.29,0.39,0.42,78.17,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.12,0.12,0.08,0.41,0.0,0.0,0.0,0.0,0.0,4.42
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.0,0.08,0.12,0.0,0.07,0.0,0.21,0.0,0.0,0.0,0.0,26.72,0.0,23.89,0.0,0.0,0.0,0.17,0.2,0.0,0.21,5.7,0.0,0.0,0.0
hsa-miR-125b-5p,139.1,137.59,18.27,66.32,0.87,1.81,1.79,1.08,1.39,1.27,7.82,0.0,6.02,0.0,6.68,0.0,0.0,84.91,2.24,0.87,2.71,2.04,0.52,2.26,28.48,175.73,0.0,0.0
hsa-miR-126-3p,145.42,93.81,146.12,238.76,147.25,199.72,316.25,170.61,173.88,165.96,15.63,0.0,0.0,0.0,300.6,156.27,47.78,150.22,199.83,198.14,404.36,174.41,92.59,369.4,347.45,591.1,0.0,0.0
hsa-miR-126-5p,904.14,813.02,968.05,5319.08,3032.18,4940.48,7006.75,3989.43,3832.95,4069.53,23.45,0.0,6.02,0.0,1309.29,2646.98,11.95,2537.37,5389.11,4439.17,7002.33,4680.36,3247.0,7550.18,979.7,4217.59,0.0,0.0
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.28,1.21,0.64,0.65,0.17,0.64,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.94,0.87,1.27,1.02,0.43,1.33,0.0,0.0,0.0,0.0
