miRNA,GSM2442624,GSM2442625,GSM2442626,GSM2442627,GSM2442628,GSM2442629,GSM2442630,GSM2442631,GSM2442632,GSM2442633
hsa-miR-4482-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4484,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,0.85,1.07,1.34,1.68,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4485-5p,1.02,0.89,0.61,0.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4488,0.34,0.36,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4492,0.34,1.78,0.49,0.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4497,1.36,1.07,0.49,1.12,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-449a,0.0,0.0,0.49,0.45,0.0,0.0,0.0,6.52,3.27,0.0
hsa-miR-449b-5p,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-449c-5p,0.17,0.89,0.37,0.22,0.0,0.0,0.0,9.78,0.0,0.0
hsa-miR-4508,3.23,3.38,1.83,2.02,0.0,4.18,3.19,0.0,0.0,0.0
hsa-miR-450a-5p,1.02,0.36,1.95,2.02,13.36,0.0,0.0,3.26,3.27,3.38
hsa-miR-450b-5p,2.38,2.67,5.36,5.5,0.0,4.18,3.19,3.26,6.53,0.0
hsa-miR-4511,0.0,0.0,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4515,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4516,5.27,6.41,9.14,8.87,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-451a,0.0,5.34,1.46,1.23,193.72,1371.35,165.83,286.93,130.62,104.72
hsa-miR-452-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-452-5p,0.0,0.36,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
