miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-miR-2276-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2277-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
hsa-miR-23a-3p,2882.62,11054.54,8611.38,3820.77,15346.36,9711.16,3091.33,7552.4,10083.22,3788.82,11351.61,4492.0,4299.43,10161.82,4367.28,3208.28,8728.73,1663.01,3355.79,2612.36,3024.93,1898.77,4497.01,2543.67
hsa-miR-23a-5p,0.0,7.12,0.0,13.23,0.0,0.0,11.5,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,1.37,5.88,0.0,0.0,1.85,7.64,1.81,1.93,0.0
hsa-miR-23b-3p,0.32,2057.22,0.64,909.32,2.58,2.99,618.99,1.71,2.33,815.85,0.97,1.73,0.27,1.5,1.25,354.16,1205.84,0.15,0.0,328.22,376.84,203.46,531.04,0.0
hsa-miR-23b-5p,0.0,8.86,0.0,16.7,0.0,0.0,12.73,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.95,4.35,0.0,0.0,2.29,5.32,0.42,2.01,0.0
hsa-miR-23c,0.0,0.52,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.06,0.18,0.0,0.0,0.04,0.17,0.0,0.17,0.0
hsa-miR-24-1-5p,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
hsa-miR-24-3p,0.0,1737.86,22.02,757.62,6.13,12.17,1411.83,48.35,11.64,557.02,100.0,29.07,2.39,11.99,4.57,1030.53,2889.41,4.14,11.91,850.81,1056.55,329.06,1170.0,4.13
hsa-miR-2467-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.0,0.0,0.08,0.06,0.36,0.17,0.0
hsa-miR-25-3p,28.07,14081.13,70.84,4713.21,64.5,45.71,5274.91,49.33,30.26,2662.89,115.94,31.77,51.62,76.09,38.6,6135.03,15220.55,19.78,30.23,4037.24,6281.11,4067.68,9912.1,34.17
hsa-miR-25-5p,0.0,70.91,0.0,113.85,0.32,0.0,83.57,1.22,0.0,22.77,0.0,0.0,2.93,0.0,1.25,74.6,119.9,0.31,2.14,32.95,136.52,38.11,42.03,0.0
hsa-miR-26a-1-3p,0.0,13.43,0.0,2.38,0.0,0.0,1.44,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,1.91,11.35,0.0,0.0,0.56,2.66,0.91,4.02,0.0
hsa-miR-26a-2-3p,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-26a-5p,0.0,6473.54,4.47,3406.77,5.16,5.55,2233.13,10.99,7.91,2611.78,7.73,5.01,0.27,6.0,0.83,4087.7,10896.79,1.07,3.66,2628.55,4357.92,3483.68,10549.3,2.75
hsa-miR-26b-3p,0.0,13.6,0.0,3.84,0.0,0.0,4.31,0.0,0.0,1.28,2.42,0.96,0.0,0.0,0.0,1.79,9.3,0.0,0.0,1.85,1.93,1.33,3.35,0.0
hsa-miR-26b-5p,0.0,19485.56,4.79,5803.65,5.8,1.5,3853.02,11.72,9.31,4016.22,26.09,5.97,0.0,2.62,4.98,4153.53,10725.52,0.31,1.22,2598.86,4667.6,4199.14,18127.67,0.0
