miRNA,SRR12327175,SRR12327176,SRR12327177,SRR12327178,SRR12327179,SRR12327180,SRR12327181,SRR12327182,SRR12327183,SRR12327184,SRR12327185,SRR12327186,SRR12327187,SRR12327188,SRR12327189,SRR12327190
hsa-miR-429,3.54,3.61,27.38,56.58,2.58,0.86,6.14,0.77,0.43,0.7,0.16,0.12,1.05,0.5,1.51,0.0
hsa-miR-4306,4.13,4.26,1.83,5.76,0.61,2.58,12.98,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
hsa-miR-431-3p,0.59,0.64,0.49,0.11,1.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
hsa-miR-431-5p,5.31,5.55,10.22,11.52,17.18,7.75,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.96,1.12
hsa-miR-432-5p,29.8,60.09,47.83,43.4,118.02,49.94,25.5,3.98,0.0,0.0,0.0,0.0,0.0,0.0,39.43,12.28
hsa-miR-4324,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4326,25.38,15.35,11.93,17.49,15.95,32.23,8.0,3.72,0.72,1.41,0.41,2.19,2.76,2.51,2.16,3.13
hsa-miR-433-3p,16.52,28.5,10.95,15.5,78.52,16.11,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,1.79
hsa-miR-433-5p,0.0,0.0,0.12,0.22,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4421,0.0,0.26,0.12,0.11,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4422,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4424,0.0,0.13,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4425,0.3,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.41,0.33,0.0,0.26,0.0,0.0,0.0
hsa-miR-4427,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.1,0.0,0.0
hsa-miR-4428,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4429,0.3,0.0,1.7,0.55,0.12,0.74,0.23,0.38,0.29,0.18,0.08,0.0,0.0,0.1,0.11,0.0
hsa-miR-4431,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4432,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433a-3p,0.3,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433a-5p,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433b-3p,7.97,27.85,6.45,1.44,6.63,34.19,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,6.14
hsa-miR-4433b-5p,28.33,58.03,74.36,62.23,119.25,16.6,16.46,5.64,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.11
hsa-miR-4435,0.89,1.55,3.53,3.65,1.96,7.87,2.67,2.95,0.14,0.0,0.0,0.12,0.13,0.1,1.4,1.79
hsa-miR-4436a,0.0,0.13,0.0,0.0,0.0,0.12,0.12,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0
hsa-miR-4436b-3p,0.0,0.0,0.37,0.0,0.12,0.37,0.0,0.38,0.14,0.0,0.0,0.0,0.0,0.0,0.22,0.0
hsa-miR-4436b-5p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4437,0.0,0.13,0.49,0.0,0.0,0.12,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
hsa-miR-4440,0.0,0.39,0.85,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4443,2.95,0.26,4.02,1.0,0.25,1.48,0.7,1.41,0.0,0.0,0.08,0.0,0.13,0.0,0.0,0.0
