miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-miR-450b-5p,2.88,1.11,8.61,7.26
hsa-miR-4516,0.96,0.32,1.43,9.08
hsa-miR-451a,61.37,4.93,8.61,43.56
hsa-miR-452-3p,0.32,0.0,0.0,0.0
hsa-miR-452-5p,0.32,0.0,1.43,2.72
hsa-miR-4520-3p,0.0,0.0,0.72,0.0
hsa-miR-454-3p,0.32,0.0,4.3,0.0
hsa-miR-454-5p,0.0,0.16,0.0,1.82
hsa-miR-455-3p,0.64,0.0,2.15,2.72
hsa-miR-455-5p,2.88,0.95,130.51,26.32
hsa-miR-4647,0.0,0.0,0.0,1.82
hsa-miR-4652-5p,0.0,0.0,2.15,0.0
hsa-miR-4654,0.0,0.0,1.43,0.0
hsa-miR-4661-5p,0.96,0.32,2.87,0.91
hsa-miR-4662a-5p,0.0,0.0,0.0,1.82
hsa-miR-4664-3p,0.96,0.0,2.87,5.45
hsa-miR-4669,0.0,0.0,4.3,0.0
hsa-miR-4670-3p,0.0,0.16,0.0,0.0
hsa-miR-4677-3p,0.32,0.0,1.43,2.72
hsa-miR-4677-5p,0.0,0.0,2.15,0.0
hsa-miR-4684-3p,0.0,0.0,0.72,0.0
hsa-miR-4687-3p,0.0,0.0,0.72,0.0
hsa-miR-4721,0.0,0.16,0.72,4.54
hsa-miR-4723-5p,0.0,0.0,1.43,0.0
hsa-miR-4725-3p,0.0,0.0,1.43,1.82
hsa-miR-4741,0.32,0.0,0.0,0.0
hsa-miR-4742-3p,0.0,0.0,0.0,0.91
hsa-miR-4745-5p,0.0,0.0,2.15,2.72
hsa-miR-4746-5p,0.0,0.16,3.59,0.0
hsa-miR-4758-5p,0.32,0.16,0.0,0.0
hsa-miR-4762-3p,0.0,0.0,0.72,0.0
hsa-miR-4775,0.0,0.0,0.0,1.82
hsa-miR-4785,0.0,0.0,1.43,0.0
hsa-miR-4788,0.0,0.0,2.87,1.82
hsa-miR-4791,0.0,0.0,0.0,1.82
hsa-miR-4797-5p,0.0,0.16,0.0,0.0
hsa-miR-4798-5p,0.0,0.0,0.0,0.91
hsa-miR-483-3p,0.32,0.0,0.72,0.0
hsa-miR-484,1.6,1.11,11.47,11.8
hsa-miR-485-3p,0.0,0.0,0.0,0.91
hsa-miR-485-5p,0.64,0.0,0.0,0.0
hsa-miR-486-5p,11.83,0.0,0.0,5.45
hsa-miR-487b-3p,0.64,0.48,0.72,0.91
hsa-miR-490-3p,0.0,0.0,0.0,1.82
hsa-miR-493-3p,6.39,0.8,1.43,0.0
hsa-miR-493-5p,18.22,10.98,55.22,0.0
hsa-miR-494-3p,0.32,0.8,0.72,0.0
hsa-miR-495-3p,4.79,0.64,0.72,6.35
hsa-miR-497-5p,0.0,0.0,0.0,0.91
hsa-miR-4999-3p,0.32,0.0,0.0,0.0
hsa-miR-499a-5p,0.96,0.0,4.3,56.27
hsa-miR-5000-3p,0.0,0.0,0.72,0.0
hsa-miR-5009-5p,0.0,0.0,2.87,0.0
hsa-miR-500a-3p,0.32,0.0,0.72,1.82
hsa-miR-500b-5p,0.32,0.95,0.0,2.72
hsa-miR-501-3p,0.0,0.16,2.87,3.63
hsa-miR-501-5p,0.0,0.0,0.72,0.0
hsa-miR-5010-3p,0.0,0.0,0.72,0.0
hsa-miR-502-3p,0.0,0.64,7.17,0.0
hsa-miR-503-5p,0.32,0.0,48.76,30.86
hsa-miR-505-3p,0.0,0.0,0.0,0.91
hsa-miR-505-5p,0.64,0.0,1.43,2.72
hsa-miR-508-3p,0.32,0.0,0.0,0.0
hsa-miR-5088-5p,0.32,0.0,0.0,0.0
hsa-miR-509-3-5p,0.0,0.16,1.43,0.0
hsa-miR-5091,0.64,0.0,0.0,0.0
hsa-miR-511-5p,0.0,0.0,2.87,5.45
hsa-miR-512-3p,0.32,0.32,1.43,0.0
hsa-miR-512-5p,0.0,0.16,0.0,0.0
hsa-miR-514a-3p,0.32,0.48,2.15,0.0
hsa-miR-515-3p,0.32,0.0,0.0,0.0
hsa-miR-515-5p,1.6,0.32,7.89,0.0
hsa-miR-516a-3p,0.0,0.0,0.72,0.0
hsa-miR-516a-5p,11.19,7.32,53.78,0.0
hsa-miR-516b-5p,13.11,10.02,54.5,0.91
hsa-miR-517-5p,0.0,0.16,0.0,0.0
hsa-miR-517a-3p,24.93,9.86,1.43,0.0
hsa-miR-517b-3p,0.32,1.11,94.66,0.0
hsa-miR-517c-3p,1.28,1.75,6.45,0.0
hsa-miR-518a-3p,0.0,0.16,2.15,0.0
hsa-miR-518c-3p,2.88,0.8,7.17,0.0
hsa-miR-518c-5p,0.32,0.48,0.72,0.0
