miRNA,SRR12463645,SRR12463646,SRR12463647,SRR12463648,SRR12463649,SRR12463650,SRR12463651,SRR12463652,SRR12463653,SRR12463654,SRR12463655,SRR12463656,SRR12463657,SRR12463658,SRR12463659
hsa-miR-20a-5p,0.0,2.62,0.0,0.0,14.49,3.23,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-21-3p,0.0,1.75,0.0,0.0,3.78,3.23,0.0,0.0,0.0,0.0,0.68,2.17,0.0,0.0,0.0
hsa-miR-21-5p,2419.43,1478.65,1681.1,5004.67,5748.19,4660.21,391.03,434.12,617.64,264.84,393.5,552.22,6.05,64.93,69.84
hsa-miR-210-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.48
hsa-miR-2110,0.0,1.75,6.92,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-5p,0.0,0.0,3.46,0.0,1.26,6.46,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-218-5p,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.86,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-219a-1-3p,0.0,2.62,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-22-3p,18.47,3.49,3.46,11.3,27.09,16.15,0.0,1.73,3.04,11.13,11.3,5.96,0.86,4.09,5.23
hsa-miR-22-5p,0.0,0.0,0.0,3.77,1.26,0.0,0.0,0.86,1.52,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-221-3p,36.94,2.62,0.0,97.91,214.23,93.66,0.0,17.3,21.25,0.0,2.05,4.87,2.59,2.27,4.75
hsa-miR-221-5p,0.0,0.0,3.46,48.95,39.69,71.05,15.64,3.46,9.11,0.0,0.0,0.0,0.0,0.45,0.48
hsa-miR-222-3p,73.88,2.62,6.92,406.7,496.5,523.18,46.92,40.64,74.36,6.68,1.71,2.71,0.0,1.36,0.48
hsa-miR-222-5p,0.0,0.0,0.0,7.53,6.93,6.46,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.45,0.48
