miRNA,SRR6233838,SRR6233839,SRR6233840,SRR6233841,SRR6233842,SRR6233843
hsa-miR-218-2-3p,0.92,0.82,0.48,0.27,0.93,0.6
hsa-miR-218-5p,58.6,90.28,86.41,71.4,66.43,109.83
hsa-miR-219a-1-3p,3.92,4.36,3.55,3.34,2.01,4.65
hsa-miR-219a-5p,3.92,4.63,5.01,13.24,2.32,2.86
hsa-miR-219b-3p,0.13,0.0,0.0,0.13,0.0,0.36
hsa-miR-219b-5p,0.0,3.95,6.3,0.67,2.16,0.0
hsa-miR-22-3p,811.61,853.63,943.58,529.85,521.83,894.6
hsa-miR-22-5p,33.88,39.35,49.75,21.79,24.87,30.53
hsa-miR-221-3p,1563.19,1971.16,2073.39,2578.41,2227.45,3109.62
hsa-miR-221-5p,13.6,14.43,15.18,25.8,17.61,29.1
hsa-miR-222-3p,118.24,139.44,160.87,270.34,235.43,358.94
hsa-miR-222-5p,0.26,0.14,0.16,0.67,0.46,1.31
hsa-miR-223-3p,0.26,0.68,0.81,0.27,0.46,0.72
hsa-miR-224-3p,0.92,0.95,0.32,0.0,0.62,0.36
hsa-miR-224-5p,1893.32,2109.64,2140.42,2371.98,2550.78,3102.35
hsa-miR-2276-3p,0.78,1.09,0.65,1.07,1.39,3.34
hsa-miR-2276-5p,0.0,0.14,0.0,0.0,0.0,0.0
hsa-miR-2277-3p,7.46,7.49,6.62,8.69,8.81,9.78
hsa-miR-2277-5p,10.2,11.03,13.24,9.63,10.04,12.28
hsa-miR-2278,1.83,3.54,2.26,4.55,2.94,4.89
hsa-miR-2355-3p,3.4,5.86,5.65,8.69,7.57,7.87
hsa-miR-2355-5p,7.06,8.17,8.72,7.62,5.25,7.63
hsa-miR-23a-3p,9885.96,10374.44,11034.52,10105.08,8655.83,13456.37
hsa-miR-23a-5p,3.14,3.68,3.55,3.74,3.71,4.29
hsa-miR-23b-3p,503.45,474.27,543.83,575.45,1342.12,2311.38
hsa-miR-23b-5p,17.92,15.66,19.22,14.84,11.59,16.93
hsa-miR-23c,0.39,0.0,0.0,0.27,0.15,0.0
hsa-miR-24-2-5p,0.92,1.36,0.65,0.8,0.0,1.31
