miRNA,SRR22891202,SRR22891203,SRR22891204,SRR22891205
hsa-miR-376b-5p,0.54,0.31,0.15,0.35
hsa-miR-376c-3p,46.04,4.73,4.4,2.39
hsa-miR-376c-5p,1.9,0.0,0.44,0.09
hsa-miR-377-3p,0.75,0.23,0.0,0.0
hsa-miR-377-5p,0.41,0.08,0.15,0.18
hsa-miR-378a-3p,6.64,25.42,22.73,26.92
hsa-miR-378a-5p,0.0,0.31,0.0,0.53
hsa-miR-378b,0.0,0.0,0.15,0.0
hsa-miR-378c,0.0,0.31,0.15,3.28
hsa-miR-378d,0.0,0.16,1.03,0.53
hsa-miR-378e,0.0,0.0,0.0,0.09
hsa-miR-378h,0.0,0.0,0.0,0.09
hsa-miR-378i,0.0,0.16,0.0,0.0
hsa-miR-379-3p,21.36,1.86,0.0,0.44
hsa-miR-379-5p,79.19,15.11,15.55,5.14
hsa-miR-380-3p,1.22,0.0,0.0,0.0
hsa-miR-380-5p,0.61,0.0,0.0,0.0
hsa-miR-381-3p,4.47,0.62,0.15,0.18
hsa-miR-382-3p,0.54,0.16,0.15,0.09
hsa-miR-382-5p,47.73,4.19,5.13,5.14
hsa-miR-383-5p,0.68,0.0,0.0,0.0
hsa-miR-3909,0.14,0.08,0.29,0.27
hsa-miR-3912-3p,0.0,0.08,0.0,0.0
hsa-miR-3913-5p,0.07,0.0,0.0,0.0
hsa-miR-3929,0.07,0.08,0.15,0.09
hsa-miR-3939,0.0,0.0,0.0,0.09
hsa-miR-3944-3p,0.07,0.0,0.0,0.09
hsa-miR-3960,58.17,27.36,50.9,66.51
hsa-miR-3976,0.0,0.08,0.15,0.0
hsa-miR-409-3p,18.1,4.5,0.15,0.71
hsa-miR-409-5p,0.14,0.0,0.0,0.0
hsa-miR-410-3p,6.98,1.01,1.03,0.27
hsa-miR-410-5p,0.14,0.0,0.0,0.0
hsa-miR-411-3p,1.56,0.47,0.15,0.0
hsa-miR-411-5p,238.79,35.5,56.62,16.74
hsa-miR-412-3p,0.07,0.0,0.0,0.0
hsa-miR-412-5p,7.59,0.78,0.73,0.71
hsa-miR-421,0.14,0.23,0.0,0.35
hsa-miR-423-3p,2.24,12.25,3.81,17.0
hsa-miR-423-5p,0.61,3.02,1.47,0.27
hsa-miR-424-3p,2.51,2.02,0.59,0.27
hsa-miR-424-5p,34.24,10.23,16.72,7.44
hsa-miR-425-3p,4.07,2.25,3.67,8.86
hsa-miR-425-5p,9.29,8.68,7.63,7.79
hsa-miR-4286,0.0,0.08,0.0,0.0
hsa-miR-429,0.41,0.23,0.59,0.18
hsa-miR-4301,0.0,0.0,0.0,0.09
hsa-miR-4306,0.0,0.0,0.0,0.09
hsa-miR-431-3p,0.88,0.08,0.0,0.18
hsa-miR-431-5p,3.8,1.01,0.15,0.8
hsa-miR-432-3p,0.88,0.0,0.15,0.09
hsa-miR-432-5p,66.44,9.53,2.2,6.2
hsa-miR-4326,0.0,0.08,0.0,0.0
hsa-miR-433-3p,0.27,0.23,0.0,0.44
hsa-miR-433-5p,0.27,0.0,0.0,0.09
hsa-miR-4423-5p,0.14,0.16,0.0,0.0
hsa-miR-4426,0.0,0.08,0.0,0.0
hsa-miR-4433b-3p,0.07,0.0,0.0,0.0
hsa-miR-4435,0.14,0.0,0.0,0.0
hsa-miR-4443,0.07,0.0,0.0,0.0
hsa-miR-4448,0.41,0.0,0.29,0.35
hsa-miR-4449,0.54,0.08,0.73,0.35
hsa-miR-4451,0.0,0.0,0.29,0.0
hsa-miR-4454,0.75,0.23,1.03,0.62
hsa-miR-4466,0.0,0.39,0.0,0.27
hsa-miR-4470,0.0,0.0,0.0,0.18
hsa-miR-4479,0.0,0.0,0.0,0.09
hsa-miR-4484,0.0,0.31,1.76,0.09
hsa-miR-4485-3p,0.0,0.08,0.0,0.0
hsa-miR-4485-5p,0.0,0.08,0.15,0.18
hsa-miR-4488,2.17,0.39,0.88,1.15
hsa-miR-4492,0.07,0.23,0.29,0.09
hsa-miR-4497,1.97,2.09,2.2,3.72
hsa-miR-449a,1.22,2.33,1.17,1.68
hsa-miR-4506,0.14,0.0,0.15,0.18
hsa-miR-4508,1.08,2.02,1.17,1.24
hsa-miR-450a-1-3p,0.27,0.0,0.0,0.0
hsa-miR-450a-2-3p,0.0,0.0,0.29,0.18
hsa-miR-450a-5p,7.86,5.12,6.6,2.92
hsa-miR-450b-5p,0.47,0.47,0.29,0.0
hsa-miR-4512,0.14,0.0,0.0,0.0
hsa-miR-4513,0.0,0.0,0.0,0.18
hsa-miR-4516,28.68,13.18,43.56,26.57
