miRNA,SRR13648489,SRR13648490,SRR13648491,SRR13648492,SRR13648493,SRR13648494,SRR13648495,SRR13648496,SRR13648497,SRR13648498,SRR13648499,SRR13648500,SRR13648501,SRR13648502,SRR13648503,SRR16312949,SRR16312950,SRR16312951,SRR16312952,SRR16312953,SRR16312954,SRR16312955,SRR16312956,SRR16312957,SRR16312958
hsa-miR-6767-5p,53.0,8.0,14.0,4.0,5.0,6.0,9.0,2.0,8.0,0.0,6.0,0.0,9.0,0.0,1.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,4.0
hsa-miR-6768-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6769a-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6769b-3p,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6770-3p,0.0,2.0,3.0,3.0,0.0,0.0,13.0,0.0,3.0,4.0,9.0,0.0,16.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-miR-6770-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-miR-6771-5p,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6772-3p,30.0,10.0,43.0,3.0,1.0,5.0,0.0,0.0,19.0,21.0,0.0,0.0,5.0,0.0,28.0,17.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6772-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6774-3p,5.0,7.0,5.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,9.0,0.0,20.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
