miRNA,SRR13288406,SRR13288407,SRR13288408,SRR13288409,SRR13288410,SRR13288411,SRR13288412,SRR13288413,SRR13288414,SRR13288415,SRR13288416,SRR13288417,SRR13288418,SRR13288419,SRR13288420,SRR13288421,SRR13288422
hsa-miR-181a-3p,0.68,1.24,2.22,2.96,16.86,27.83,2.9,13.24,1.02,8.87,0.0,73.29,2.04,0.99,31.76,3.77,0.0
hsa-miR-181a-5p,32.41,9.29,40.94,41.45,103.06,242.06,42.0,89.34,37.61,82.85,25.44,264.24,15.57,31.27,264.11,34.77,8.81
hsa-miR-181b-2-3p,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-3p,1.35,1.24,2.22,0.0,2.58,3.17,1.09,0.67,0.51,1.37,4.63,5.25,1.79,2.63,2.96,0.23,0.0
hsa-miR-181b-5p,9.45,6.19,11.12,20.72,28.22,62.82,8.81,27.39,8.64,15.01,4.63,53.06,5.74,9.22,59.37,7.21,0.68
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.45,0.0,0.0,0.0,2.7,0.0,0.0,5.33,0.34,0.0
hsa-miR-181c-5p,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.45,0.0,0.0,0.0,0.45,0.13,0.0,0.39,0.0,0.0
hsa-miR-181d-3p,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.22,0.0,0.08,0.0,0.15,0.0,0.0,0.0,0.34,0.0
hsa-miR-181d-5p,0.68,0.0,3.11,0.0,2.46,6.34,1.09,1.8,2.88,1.53,0.0,6.29,1.15,2.3,12.23,3.55,0.0
hsa-miR-182-3p,0.68,0.0,0.0,2.96,0.12,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.33,0.0,0.46,0.0
hsa-miR-182-5p,2.03,0.62,3.11,2.96,3.75,7.3,0.6,1.8,1.19,5.24,6.94,5.55,40.7,0.0,60.16,2.29,4.07
hsa-miR-1827,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
