miRNA,SRR29300460,SRR29300461,SRR29300462,SRR29300463,SRR29300464,SRR29300465,SRR29300466,SRR29300467,SRR29300468,SRR29300469,SRR29300470,SRR29300471,SRR29300472,SRR29300473,SRR29300474,SRR29300475,SRR29300476,SRR29300477,SRR29300478,SRR29300479,SRR29300480,SRR29300481,SRR29300482,SRR29300483,SRR29300484,SRR29300485,SRR29300486,SRR29300487
hsa-miR-196a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,25.6,18.2,23.15,59.35,29.74,36.17,9.92,209.59,0.0,0.0,5.95,0.0,0.0,2.36,0.0,22.8,5.07
hsa-miR-196b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.96,26.94,13.65,18.0,66.33,19.25,43.4,7.09,201.3,10.47,2.94,5.95,21.31,11.28,14.17,8.8,17.1,12.66
hsa-miR-197-3p,608.39,0.0,1.8,441.11,0.0,0.0,0.0,0.0,0.0,3.02,1.86,109.12,2.73,7.72,6.98,1.75,14.47,5.67,2.37,2.09,2.94,1.98,9.13,13.16,9.45,6.6,19.95,12.66
hsa-miR-1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
hsa-miR-199a-3p,0.0,0.0,1.8,558.54,3.11,816.86,0.0,0.0,1023.62,250.84,577.02,354.31,332.23,23.15,279.28,108.48,135.03,134.63,4081.72,808.5,485.71,21.81,176.54,41.35,1272.96,699.49,812.3,103.84
hsa-miR-199a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,6.04,16.7,24.25,7.28,14.14,90.77,10.5,26.52,12.75,685.62,4.19,189.97,1.98,3.04,0.0,0.0,2.2,5.7,0.0
hsa-miR-199b-3p,2.61,1128.96,0.0,0.0,0.0,0.0,620.93,0.0,0.0,3.02,12.99,0.0,60.99,83.58,41.89,12.25,2.41,63.77,590.88,389.59,0.98,43.61,33.48,1210.35,2.36,13.2,37.05,10.13
hsa-miR-199b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,3.04,0.0,0.0,0.0,8.55,0.0
hsa-miR-19a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.91,1.29,3.49,1.75,0.0,1.42,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,0.0,0.0,5.39,0.95,0.0,1.35,2.62,0.0,564.69,3.02,33.4,26.94,11.83,16.72,45.38,22.75,21.7,2.83,548.26,0.0,0.98,5.95,1001.43,3.76,2.36,4.4,2.85,0.0
hsa-miR-200a-3p,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,135.44,132.03,50.97,82.29,300.22,97.98,159.15,87.86,4444.07,14.66,3.92,1.98,0.0,1.88,4.72,0.0,2.85,5.07
hsa-miR-200a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98,3.5,0.0,0.0,20.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53
hsa-miR-200b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.12,26.94,10.01,28.29,87.27,34.99,21.7,22.67,1150.98,4.19,2.94,0.0,0.0,0.0,7.09,2.2,2.85,2.53
hsa-miR-200b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,3.49,1.75,0.0,0.0,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.93,70.05,21.85,37.29,205.97,62.99,101.28,46.76,2905.87,8.38,1.96,5.95,6.09,5.64,7.09,2.2,5.7,5.07
hsa-miR-200c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-202-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,1.29,3.49,0.0,2.41,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-203a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,0.91,1.29,17.45,3.5,2.41,2.83,170.52,0.0,0.0,0.0,0.0,1.88,0.0,0.0,2.85,0.0
hsa-miR-204-3p,0.0,0.0,0.0,0.0,3.11,0.0,0.87,0.0,0.0,0.0,3.71,1.35,0.0,0.0,6.98,0.0,0.0,0.0,2.37,0.0,0.0,590.77,0.0,0.0,0.0,0.0,0.0,0.0
