miRNA,ERR3559065,ERR3559066
hsa-miR-3157-3p,68.0,0.0
hsa-miR-3157-5p,0.0,11.0
hsa-miR-3161,82.0,14.0
hsa-miR-3173-5p,130.0,87.0
hsa-miR-3177-3p,332.0,139.0
hsa-miR-3178,0.0,2.0
hsa-miR-3180-3p,0.0,1.0
hsa-miR-3188,44.0,0.0
hsa-miR-3195,493.0,13.0
hsa-miR-3196,75.0,25.0
hsa-miR-32-5p,14.0,0.0
hsa-miR-3200-5p,38.0,0.0
hsa-miR-3202,10.0,0.0
hsa-miR-320a-3p,23754.0,31009.0
hsa-miR-320a-5p,11.0,0.0
hsa-miR-320b,775.0,534.0
hsa-miR-320c,2501.0,1594.0
hsa-miR-320d,320.0,412.0
hsa-miR-320e,18.0,0.0
hsa-miR-323a-3p,385.0,197.0
hsa-miR-323a-5p,14.0,0.0
hsa-miR-323b-3p,1017.0,416.0
hsa-miR-326,6.0,5.0
hsa-miR-328-3p,1387.0,888.0
hsa-miR-329-3p,208.0,170.0
hsa-miR-330-3p,208.0,117.0
hsa-miR-330-5p,7.0,0.0
hsa-miR-331-3p,99.0,18.0
hsa-miR-331-5p,349.0,119.0
hsa-miR-335-3p,1557.0,740.0
hsa-miR-335-5p,1788.0,574.0
hsa-miR-338-3p,24.0,0.0
