miRNA,SRR27277256,SRR27277257,SRR27277258,SRR27277259,SRR27277260,SRR27277261,SRR27277262,SRR27277263
hsa-miR-204-3p,0.0,0.0,5.75,0.0,0.0,8.55,0.0,0.0
hsa-miR-204-5p,0.0,0.0,24.45,6.3,0.0,16.63,4.89,2.53
hsa-miR-205-5p,3.88,18.55,15.82,26.42,2.71,0.95,0.38,0.72
hsa-miR-206,3.88,116.38,2.88,3.9,6.1,0.95,3.01,5.78
hsa-miR-208a-3p,0.0,0.0,20.14,0.0,0.0,7.13,1.13,5.42
hsa-miR-208b-3p,0.0,0.0,0.0,1.2,0.0,0.95,0.0,0.0
hsa-miR-20a-5p,6.47,28.67,34.52,121.29,12.88,276.48,449.63,272.02
hsa-miR-20b-3p,0.0,0.0,5.75,0.0,0.0,0.48,0.38,0.0
hsa-miR-20b-5p,0.0,0.0,2.88,6.91,0.0,0.48,20.32,8.31
hsa-miR-21-3p,0.0,55.66,0.0,7.21,6.1,1.43,4.89,0.0
hsa-miR-21-5p,165.62,6766.88,9025.01,5526.29,1789.08,7873.01,6026.2,11351.68
hsa-miR-210-3p,0.0,1.69,2.88,1.8,0.0,180.52,3.01,1.44
hsa-miR-2110,0.0,0.0,24.45,42.63,5.42,0.95,29.72,64.66
hsa-miR-2115-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0
hsa-miR-2115-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
hsa-miR-2116-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0
hsa-miR-212-3p,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
hsa-miR-212-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
hsa-miR-214-3p,0.0,0.0,0.0,0.0,0.0,0.95,1.13,0.0
hsa-miR-214-5p,1.29,1.69,1.44,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-5p,0.0,0.0,1.44,16.21,6.1,0.0,24.08,25.65
hsa-miR-216a-5p,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.0
hsa-miR-217-5p,0.0,50.6,0.0,2.7,6.1,0.48,0.0,0.0
hsa-miR-218-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
hsa-miR-218-5p,6.47,175.41,47.47,3.3,58.96,221.85,1.13,2.89
hsa-miR-219a-1-3p,0.0,0.0,0.0,1.2,0.0,0.0,0.0,2.89
hsa-miR-219a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0
hsa-miR-22-3p,9.06,408.17,571.08,503.18,85.39,221.85,541.82,642.65
hsa-miR-22-5p,0.0,1.69,14.38,33.63,0.68,333.96,24.08,35.04
hsa-miR-221-3p,7.76,268.18,165.43,175.93,60.31,288.36,392.44,285.02
hsa-miR-221-5p,0.0,28.67,44.59,22.82,8.81,8.08,31.61,19.87
hsa-miR-222-3p,5.18,139.99,960.9,589.05,126.05,30.4,785.26,1318.17
hsa-miR-222-5p,0.0,0.0,0.0,0.0,0.68,0.0,1.13,0.0
hsa-miR-223-3p,5.18,0.0,46.03,28.52,0.0,92.16,51.92,47.68
