miRNA,SRR11413935,SRR11413936,SRR11413937,SRR11413938,SRR11413939,SRR11413940,SRR11413941,SRR11413942,SRR11413943,SRR11413944
hsa-miR-4699-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4700-5p,0.0,0.12,0.36,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4701-5p,0.0,0.12,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-4704-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
hsa-miR-4707-3p,0.12,0.25,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0
hsa-miR-4707-5p,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4709-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4709-5p,0.0,0.12,0.0,0.0,0.21,0.0,0.44,0.0,0.0,0.0
hsa-miR-4710,0.0,0.0,0.0,0.0,0.21,0.0,0.55,0.0,0.0,0.25
hsa-miR-4714-5p,0.0,0.0,0.49,0.0,0.1,0.0,0.0,0.0,0.0,0.25
hsa-miR-4717-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,1.22,0.0
hsa-miR-4721,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.86,0.0
hsa-miR-4723-5p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4724-5p,0.0,0.49,2.67,0.0,1.26,1.1,0.0,0.0,0.0,0.62
hsa-miR-4727-3p,0.12,0.12,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4728-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4729,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4732-3p,1.71,3.56,0.97,56.51,2.1,4.53,28.3,3.12,33.62,44.87
hsa-miR-4732-5p,4.27,6.51,2.18,13.03,5.55,16.65,48.5,20.32,61.75,58.75
hsa-miR-4734,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.37,0.0
hsa-miR-4738-3p,0.24,0.49,2.67,0.43,1.26,0.73,0.44,0.0,11.74,2.85
hsa-miR-4739,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4740-5p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4741,0.0,0.12,0.36,0.0,0.42,0.0,0.22,3.58,0.12,0.0
hsa-miR-4742-3p,0.0,0.25,0.12,0.0,0.52,0.86,1.89,0.0,0.0,1.36
hsa-miR-4743-5p,0.0,0.0,0.24,0.11,0.42,0.49,0.22,0.0,0.0,0.0
hsa-miR-4744,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-4745-3p,0.0,0.0,0.0,1.28,0.0,0.0,1.11,0.0,0.0,0.0
hsa-miR-4745-5p,0.0,0.0,0.36,0.0,0.31,1.22,0.33,0.0,0.0,0.5
hsa-miR-4746-5p,0.85,1.11,3.28,0.0,1.47,5.51,8.32,17.66,5.14,8.18
hsa-miR-4750-5p,0.12,0.49,0.0,0.11,0.21,0.0,0.0,0.0,0.0,0.0
