miRNA,GSM2837756,GSM2837757,GSM2837760,GSM2837761,GSM2837764,GSM2837765,GSM2837768,GSM2837769,GSM2837772,GSM2837773,GSM2837776,GSM2837777
hsa-miR-144-3p,0.06,22.65,0.0,1.18,0.0,3.02,0.0,6.82,0.0,3.6,0.0,1.69
hsa-miR-144-5p,0.06,8.02,0.0,0.59,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.42
hsa-miR-145-3p,0.0,0.0,0.0,0.0,1.39,0.0,1.13,0.0,0.0,0.0,1.35,0.0
hsa-miR-145-5p,1.94,0.94,0.82,0.59,40.24,57.34,11.34,15.92,0.0,0.0,12.18,4.22
hsa-miR-1468-5p,0.46,0.47,0.0,0.59,0.0,6.04,0.0,4.55,0.0,0.0,1.35,1.27
hsa-miR-146a-5p,1.48,0.94,4.26,14.21,106.85,111.67,115.64,68.22,198.06,19.78,163.74,15.18
hsa-miR-146b-3p,1.94,6.13,1.56,1.18,0.0,0.0,0.0,4.55,0.0,1.8,0.0,1.27
hsa-miR-146b-5p,167.47,245.34,42.35,92.95,113.79,353.12,850.31,768.63,569.43,109.7,1453.36,263.14
hsa-miR-147b-3p,0.86,0.94,0.74,0.59,5.55,3.02,0.0,0.0,0.0,3.6,0.0,0.42
hsa-miR-147b-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-148a-3p,730.29,1591.41,775.45,1699.14,1196.15,3817.93,1175.69,2631.06,1188.38,564.69,1012.21,955.56
hsa-miR-148a-5p,8.5,19.82,7.29,33.15,4.16,15.09,12.47,59.13,0.0,10.79,12.18,15.18
hsa-miR-148b-3p,33.89,32.08,21.14,30.19,19.43,27.16,15.87,18.19,0.0,0.0,28.42,5.9
hsa-miR-148b-5p,5.14,13.21,5.41,13.62,5.55,30.18,4.53,27.29,0.0,0.0,4.06,8.01
hsa-miR-149-3p,0.0,0.0,0.0,0.0,0.0,3.02,1.13,0.0,0.0,0.0,0.0,0.42
hsa-miR-149-5p,137.57,117.48,69.06,89.99,27.75,102.62,64.62,84.14,49.52,14.39,50.07,36.69
hsa-miR-150-3p,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-150-5p,0.97,9.91,0.33,2.37,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.84
hsa-miR-151a-3p,504.97,1504.12,351.93,959.69,467.64,1303.83,587.28,1127.92,1114.11,368.67,714.5,570.98
hsa-miR-151a-5p,143.67,563.81,229.21,701.56,284.47,839.04,153.06,475.27,148.55,71.93,146.15,204.1
hsa-miR-151b,1.88,6.61,8.93,58.61,2.78,39.24,5.67,15.92,0.0,1.8,16.24,4.64
hsa-miR-152-3p,25.56,24.53,22.45,10.66,12.49,21.13,7.94,4.55,24.76,0.0,8.12,4.22
hsa-miR-152-5p,1.2,3.3,1.23,2.37,4.16,12.07,4.53,2.27,0.0,0.0,0.0,0.42
hsa-miR-153-3p,0.0,0.47,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-1537-3p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1538,0.0,0.0,0.08,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
hsa-miR-154-5p,0.0,0.0,0.0,0.0,0.0,9.05,1.13,0.0,0.0,0.0,1.35,0.0
hsa-miR-155-5p,5.48,13.68,2.21,7.7,22.2,24.15,10.2,31.84,0.0,3.6,13.53,6.75
hsa-miR-15a-3p,0.17,1.89,0.0,1.78,0.0,0.0,0.0,2.27,0.0,0.0,1.35,0.42
hsa-miR-15a-5p,33.27,72.66,45.38,72.23,9.71,51.31,12.47,22.74,49.52,7.19,8.12,14.76
hsa-miR-15b-3p,6.68,5.66,4.75,4.14,0.0,6.04,0.0,0.0,24.76,1.8,0.0,1.27
hsa-miR-15b-5p,29.78,59.45,53.74,69.86,11.1,42.25,12.47,45.48,24.76,1.8,5.41,6.33
hsa-miR-16-1-3p,0.11,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-2-3p,12.9,55.67,21.38,55.06,11.1,21.13,9.07,22.74,24.76,3.6,6.77,12.23
hsa-miR-16-5p,1161.54,3120.06,1307.1,2380.58,603.63,1201.22,707.46,939.18,891.29,258.97,502.05,474.41
hsa-miR-17-3p,7.13,25.01,9.26,18.95,6.94,12.07,5.67,20.47,0.0,0.0,0.0,3.8
hsa-miR-17-5p,63.96,137.77,53.33,121.37,20.81,81.49,26.08,63.67,24.76,5.4,14.89,21.08
hsa-miR-181a-2-3p,92.61,404.34,37.93,203.07,51.34,114.69,38.55,115.98,49.52,21.58,24.36,34.16
hsa-miR-181a-3p,33.55,93.42,22.69,85.25,23.59,81.49,19.27,43.21,24.76,10.79,17.59,15.6
hsa-miR-181a-5p,4834.96,8773.26,4372.69,7930.33,3408.06,8197.24,2769.73,3474.73,3738.46,742.73,2384.38,1525.7
hsa-miR-181b-2-3p,0.51,0.94,0.08,0.59,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-181b-3p,0.57,2.36,0.41,2.96,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-5p,568.64,1481.95,487.58,1348.07,424.62,899.4,376.4,500.29,693.22,127.68,300.42,247.11
hsa-miR-181c-3p,12.32,43.41,8.27,33.75,1.39,30.18,9.07,2.27,0.0,3.6,0.0,2.95
hsa-miR-181c-5p,116.86,208.54,112.72,174.65,63.83,141.85,39.68,95.51,173.31,28.77,36.54,56.09
hsa-miR-181d-3p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181d-5p,56.72,106.63,33.26,76.37,18.04,15.09,18.14,31.84,0.0,5.4,20.3,16.87
hsa-miR-182-3p,0.06,0.47,0.49,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-182-5p,2492.54,5545.62,2141.78,4308.25,3277.62,9229.44,3132.53,6069.41,4010.79,1854.12,5353.35,3448.21
hsa-miR-1825,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-3p,1.03,1.42,1.15,1.78,2.78,6.04,4.53,9.1,0.0,3.6,1.35,2.95
hsa-miR-183-5p,464.97,464.73,199.31,371.8,212.31,718.31,558.94,739.06,841.77,165.45,1089.35,373.2
hsa-miR-184,0.91,1.42,0.0,0.0,0.0,0.0,2.27,0.0,24.76,1.8,5.41,0.42
