miRNA,ERR7197456,ERR7197457,ERR7197458,ERR7197459,ERR7197460,ERR7197461
hsa-miR-34c-5p,2603.0,2101.0,1893.0,2725.0,3313.0,2400.0
hsa-miR-361-3p,246.0,148.0,207.0,0.0,1.0,2.0
hsa-miR-361-5p,3950.0,4010.0,3709.0,27.0,21.0,30.0
hsa-miR-3613-5p,44.0,66.0,28.0,6.0,1.0,4.0
hsa-miR-362-3p,0.0,2.0,1.0,0.0,3.0,0.0
hsa-miR-362-5p,295.0,295.0,293.0,5.0,1.0,1.0
hsa-miR-363-3p,8.0,6.0,2.0,4.0,0.0,0.0
hsa-miR-3648,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3651,1.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-365a-3p,701.0,212.0,318.0,0.0,2.0,5.0
hsa-miR-365a-5p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-365b-3p,134.0,633.0,536.0,17.0,20.0,13.0
hsa-miR-365b-5p,4.0,7.0,4.0,1.0,0.0,0.0
hsa-miR-3665,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-367-3p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-369-3p,1978.0,1798.0,1854.0,283.0,214.0,298.0
hsa-miR-369-5p,89.0,108.0,97.0,3.0,1.0,4.0
hsa-miR-370-3p,12.0,15.0,8.0,3.0,2.0,1.0
hsa-miR-370-5p,14.0,17.0,13.0,0.0,0.0,0.0
hsa-miR-374a-5p,646.0,718.0,562.0,15.0,10.0,30.0
hsa-miR-374b-3p,315.0,44.0,218.0,0.0,0.0,0.0
hsa-miR-374b-5p,4182.0,172.0,18255.0,45.0,25.0,0.0
hsa-miR-374c-5p,0.0,19.0,36.0,0.0,0.0,0.0
hsa-miR-375-3p,329.0,412.0,365.0,1.0,1.0,0.0
hsa-miR-376a-3p,9.0,4.0,2.0,0.0,2.0,2.0
hsa-miR-376a-5p,45.0,29.0,55.0,2.0,3.0,4.0
hsa-miR-376b-3p,21.0,29.0,16.0,3.0,3.0,1.0
hsa-miR-376b-5p,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-376c-3p,100.0,80.0,53.0,6.0,3.0,3.0
hsa-miR-376c-5p,10.0,3.0,9.0,4.0,4.0,4.0
hsa-miR-377-3p,171.0,160.0,141.0,2.0,1.0,1.0
