miRNA,ERR10658906,ERR10658907,ERR10658908,ERR10658909,ERR10658910,ERR10658911
hsa-miR-320a-3p,50.5,156.79,171.47,87.92,26.2,59.4
hsa-miR-320a-5p,0.0,3.59,0.0,0.0,0.0,0.0
hsa-miR-320b,7.14,12.89,19.79,2.96,25.41,11.28
hsa-miR-320c,11.34,1.9,0.0,51.72,46.85,0.0
hsa-miR-320d,0.1,11.41,53.5,2.96,1.59,37.85
hsa-miR-323a-3p,8.08,27.26,10.19,50.98,0.0,29.07
hsa-miR-323a-5p,0.0,2.11,0.0,0.0,0.0,0.0
hsa-miR-323b-3p,8.5,16.48,4.31,0.74,0.0,15.54
hsa-miR-324-3p,1.47,9.72,6.47,0.74,1.59,10.78
hsa-miR-324-5p,6.61,5.07,17.64,0.0,2.38,0.75
hsa-miR-328-3p,58.48,41.84,122.09,185.44,68.29,45.87
hsa-miR-329-3p,2.41,4.86,0.39,0.0,0.0,2.26
hsa-miR-329-5p,0.94,1.27,0.0,0.0,0.0,0.0
hsa-miR-330-3p,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-331-3p,2.94,3.38,8.62,0.0,0.0,0.0
hsa-miR-331-5p,0.52,0.21,0.78,0.74,0.79,0.0
hsa-miR-335-3p,3.36,13.52,29.4,0.74,0.79,18.8
hsa-miR-335-5p,30.87,205.81,118.56,2.22,145.31,89.73
hsa-miR-337-3p,0.0,2.11,0.0,0.0,0.0,0.0
hsa-miR-337-5p,13.12,33.17,3.72,2.96,34.14,19.55
hsa-miR-338-3p,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-339-3p,1.89,0.85,13.13,0.0,0.79,0.25
hsa-miR-339-5p,17.32,58.11,54.87,54.67,11.91,49.37
hsa-miR-33a-5p,0.0,2.54,0.0,0.0,0.0,0.0
hsa-miR-33b-3p,0.0,0.0,0.98,0.0,0.0,0.0
hsa-miR-340-3p,0.0,0.0,6.27,0.0,0.0,0.0
hsa-miR-340-5p,7.87,8.24,7.64,87.92,3.97,0.75
hsa-miR-342-3p,91.86,170.73,208.7,264.49,162.78,56.14
hsa-miR-342-5p,0.0,1.69,0.0,0.74,0.0,3.26
hsa-miR-345-5p,0.73,6.34,14.5,0.0,2.38,1.0
hsa-miR-34a-5p,188.35,515.36,536.17,209.08,24.62,171.93
hsa-miR-34b-3p,0.0,1.27,0.0,0.0,0.79,0.0
hsa-miR-34b-5p,0.0,2.75,0.0,0.0,0.0,0.0
hsa-miR-34c-3p,0.1,2.75,7.84,0.74,0.0,4.76
hsa-miR-34c-5p,4.62,11.2,16.46,4.43,58.76,0.5
hsa-miR-3605-3p,0.0,2.11,0.0,0.0,0.0,4.51
hsa-miR-3605-5p,0.0,0.0,0.0,0.74,0.0,0.0
hsa-miR-361-3p,17.22,39.51,20.38,1.48,46.85,10.28
hsa-miR-361-5p,13.65,69.73,110.53,33.25,11.12,28.82
hsa-miR-3611,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-3613-5p,0.1,0.0,1.18,0.0,1.59,2.26
hsa-miR-3615,27.3,38.88,49.78,60.58,35.73,17.04
hsa-miR-362-5p,2.1,6.13,7.84,0.0,0.0,0.0
hsa-miR-3622a-5p,0.0,0.85,0.2,0.0,0.0,0.0
hsa-miR-363-3p,1.15,6.34,2.35,9.6,7.94,8.52
hsa-miR-3648,1.47,0.42,1.96,0.0,20.65,0.0
hsa-miR-3654,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-365a-3p,0.0,0.21,39.78,0.0,0.0,5.26
hsa-miR-365a-5p,2.73,2.96,0.2,0.0,0.0,4.76
hsa-miR-365b-3p,6.4,38.25,4.12,0.0,0.79,13.03
hsa-miR-365b-5p,8.5,32.75,14.89,0.0,0.0,5.51
hsa-miR-3661,0.0,0.0,0.0,0.0,0.0,1.5
hsa-miR-3663-3p,3.57,0.0,0.0,0.0,0.0,0.0
hsa-miR-3665,0.0,6.13,2.16,0.74,0.0,0.0
hsa-miR-3679-5p,0.0,4.23,5.88,0.0,1.59,0.0
hsa-miR-3682-3p,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-369-3p,1.78,21.34,22.93,33.99,34.94,0.25
hsa-miR-369-5p,18.69,71.21,66.43,0.0,76.23,56.64
hsa-miR-3691-5p,0.0,0.0,0.0,0.0,1.59,0.0
