miRNA,SRR10029319,SRR10029320,SRR10029321,SRR10029322,SRR10029323
hsa-miR-3909,1.67,0.0,0.0,0.57,0.0
hsa-miR-3928-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-3929,0.0,0.0,1.62,0.0,0.0
hsa-miR-3934-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-3960,0.28,0.5,1.62,1.71,0.0
hsa-miR-409-3p,287.3,92.39,71.15,14.22,2.03
hsa-miR-409-5p,1.11,0.0,0.0,0.0,0.68
hsa-miR-411-3p,2.5,0.0,0.0,0.0,0.68
hsa-miR-411-5p,1.94,0.17,0.0,0.57,0.68
hsa-miR-412-5p,1.67,0.0,1.62,0.0,0.68
hsa-miR-421,0.56,0.17,0.0,1.71,0.68
hsa-miR-423-3p,63.35,33.2,43.66,98.94,33.15
hsa-miR-423-5p,70.85,27.0,32.34,10.24,2423.17
hsa-miR-424-3p,4.72,0.67,1.62,0.57,1.35
hsa-miR-425-3p,0.28,0.0,0.0,1.14,0.0
hsa-miR-425-5p,1.11,0.67,0.0,18.2,8.12
hsa-miR-4273,0.0,0.0,0.0,0.57,0.0
hsa-miR-4286,0.0,0.0,0.0,0.0,0.68
hsa-miR-431-3p,1.39,1.84,0.0,1.14,0.0
hsa-miR-431-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-432-5p,48.07,10.73,16.17,3.98,0.68
hsa-miR-4326,1.67,0.5,1.62,0.57,0.0
hsa-miR-433-3p,2.78,1.17,6.47,0.0,1.35
hsa-miR-4429,0.0,0.0,0.0,0.0,0.68
hsa-miR-4435,0.0,0.0,1.62,0.0,0.0
hsa-miR-4443,0.0,0.0,0.0,4.55,4.06
hsa-miR-4449,0.28,0.0,0.0,0.0,0.0
hsa-miR-4470,0.28,0.0,0.0,0.0,0.0
hsa-miR-4473,0.28,0.0,0.0,0.0,0.0
hsa-miR-4488,8.61,3.52,3.23,1.14,1.35
hsa-miR-4492,0.0,0.0,0.0,2.27,0.68
hsa-miR-4497,0.28,1.01,0.0,1.71,0.0
hsa-miR-4508,0.83,1.51,8.09,76.77,35.18
hsa-miR-450a-2-3p,1.11,0.34,0.0,0.0,0.0
