miRNA,GSM4224386,GSM4224387,GSM4224388,GSM4224389,GSM4224390,GSM4224391,GSM4224392,GSM4224393,GSM4224394
hsa-miR-378a-3p,22.32,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378a-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,2.03,0.0
hsa-miR-378c,11.16,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378d,398.04,277.38,51.57,0.0,0.0,0.0,13.69,8.11,20.93
hsa-miR-383-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3913-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3915,0.0,3.23,0.0,0.0,0.0,0.0,0.81,0.0,5.71
hsa-miR-3916,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3922-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81
hsa-miR-3934-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3960,11.16,3.23,1.29,0.0,0.0,0.0,6.44,6.08,5.71
hsa-miR-421,11.16,0.0,0.0,0.0,0.0,0.0,1.61,2.03,0.0
hsa-miR-423-3p,0.0,6.45,11.6,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-423-5p,18.6,35.48,3.87,0.0,0.0,0.0,0.0,0.0,3.81
hsa-miR-425-5p,3.72,51.61,15.47,0.0,0.0,0.0,5.64,40.54,17.12
hsa-miR-429,204.6,216.1,41.26,0.0,0.0,0.0,8.05,10.14,7.61
hsa-miR-4446-3p,3.72,0.0,0.0,0.0,0.0,0.0,7.25,0.0,0.0
hsa-miR-4446-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-4448,0.0,0.0,10.31,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4492,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-449a,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-449c-5p,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-4516,0.0,0.0,2.58,0.0,0.0,0.0,7.25,2.03,0.0
hsa-miR-452-3p,390.6,141.91,0.0,0.0,0.0,0.0,30.61,6.08,0.0
hsa-miR-452-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4526,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0
hsa-miR-454-3p,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0
hsa-miR-4654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-4660,0.0,0.0,3.87,0.0,0.0,0.0,4.03,0.0,0.0
hsa-miR-4696,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4728-5p,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4763-5p,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4783-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-4800-3p,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-484,163.68,238.67,87.67,0.0,0.0,0.0,47.52,30.41,38.05
hsa-miR-488-3p,11.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-488-5p,0.0,12.9,0.0,0.0,0.0,0.0,6.44,0.0,0.0
hsa-miR-497-5p,11.16,6.45,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-499a-5p,7.44,0.0,0.0,0.0,89.15,56.94,657.23,121.63,0.0
hsa-miR-500a-3p,0.0,16.13,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-501-3p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-501-5p,0.0,0.0,9.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-502-3p,7.44,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-511-3p,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-511-5p,26.04,54.83,20.63,61.24,0.0,0.0,25.77,0.0,5.71
hsa-miR-514b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
